URI,Label,
http://collection.britishmuseum.org/id/thesauri/script/cuneiform:-babylonian,Cuneiform: Babylonian,
http://collection.britishmuseum.org/id/thesauri/script/cuneiform,Cuneiform?,
http://collection.britishmuseum.org/id/thesauri/script/cursive,Cursive,
http://collection.britishmuseum.org/id/thesauri/script/cursive-hieroglyphic,Cursive hieroglyphic,
http://collection.britishmuseum.org/id/thesauri/script/cypriot,Cypriot,
http://collection.britishmuseum.org/id/thesauri/script/cypriot-syllabary,Cypriot Syllabary,
http://collection.britishmuseum.org/id/thesauri/script/cypriot-syllabic,Cypriot Syllabic,
http://collection.britishmuseum.org/id/thesauri/script/cypriot-syllabic,Cypriot Syllabic (?),
http://collection.britishmuseum.org/id/thesauri/script/cypriot-syllabary,Cypriot syllabary,
http://collection.britishmuseum.org/id/thesauri/script/cypriot,Cypriot?,
http://collection.britishmuseum.org/id/thesauri/script/cypriote,Cypriote,
http://collection.britishmuseum.org/id/thesauri/script/cypriote,Cypriote (?),
http://collection.britishmuseum.org/id/thesauri/script/cypro-minoan,Cypro-Minoan,
http://collection.britishmuseum.org/id/thesauri/script/cypro-minoan,Cypro-Minoan (?),
http://collection.britishmuseum.org/id/thesauri/script/cypro-minoan,Cypro-Minoan?,
http://collection.britishmuseum.org/id/thesauri/script/cypro-syllabic,Cypro-Syllabic,
http://collection.britishmuseum.org/id/thesauri/script/cyrilic,Cyrilic,
http://collection.britishmuseum.org/id/thesauri/script/cyrillic,Cyrillic,
http://collection.britishmuseum.org/id/thesauri/script/cyrillic-and-latin,Cyrillic and Latin,
http://collection.britishmuseum.org/id/thesauri/script/cyrillic-numeric,"Cyrillic, numeric",
http://collection.britishmuseum.org/id/thesauri/script/cyrllic,Cyrllic,
http://collection.britishmuseum.org/id/thesauri/script/demotic,Demotic,
http://collection.britishmuseum.org/id/thesauri/script/demotic,Demotic ?,
http://collection.britishmuseum.org/id/thesauri/script/demotic,Demotic(?),
http://collection.britishmuseum.org/id/thesauri/script/devanagari,DevaNagari,
http://collection.britishmuseum.org/id/thesauri/script/devanagari,Devanagari,
http://collection.britishmuseum.org/id/thesauri/script/devanagari-brahmand-only,Devanagari [Brahmand only],
http://collection.britishmuseum.org/id/thesauri/script/devanagiri,Devanagiri,
http://collection.britishmuseum.org/id/thesauri/script/devanagiri-and-nastaliq,Devanagiri and Nastaliq,
http://collection.britishmuseum.org/id/thesauri/script/devnagari,Devnagari,
http://collection.britishmuseum.org/id/thesauri/script/doric,Doric,
http://collection.britishmuseum.org/id/thesauri/script/dravidian,Dravidian,
http://collection.britishmuseum.org/id/thesauri/script/early-burmese,Early Burmese,
http://collection.britishmuseum.org/id/thesauri/script/early-n-gar,Early N?gar?,
http://collection.britishmuseum.org/id/thesauri/script/egyptian-hieroglyphic,Egyptian Hieroglyphic,
http://collection.britishmuseum.org/id/thesauri/script/egyptian-hieroglyphic,Egyptian hieroglyphic,
http://collection.britishmuseum.org/id/thesauri/script/egyptian-hieroglyphs,Egyptian hieroglyphs,
http://collection.britishmuseum.org/id/thesauri/script/egyptian-hierogylphic,Egyptian hierogylphic,
http://collection.britishmuseum.org/id/thesauri/script/egyptian-hierogylphic,Egyptian hierogylphic (?),
http://collection.britishmuseum.org/id/thesauri/script/english,English,
http://collection.britishmuseum.org/id/thesauri/script/english-/-arabic,English / Arabic,
http://collection.britishmuseum.org/id/thesauri/script/english-and-telugu,English and Telugu,
http://collection.britishmuseum.org/id/thesauri/script/english-handwriting,English handwriting,
http://collection.britishmuseum.org/id/thesauri/script/english-nagari-bengali,"English,  Nagari, Bengali",
http://collection.britishmuseum.org/id/thesauri/script/english-nagari-and-bengali,"English, Nagari and Bengali",
http://collection.britishmuseum.org/id/thesauri/script/english-nagari-bengali,"English, Nagari, Bengali",
http://collection.britishmuseum.org/id/thesauri/script/english/chinese,English/Chinese,
http://collection.britishmuseum.org/id/thesauri/script/estranghelo,Estranghelo,
http://collection.britishmuseum.org/id/thesauri/script/ethiopian-fidel,Ethiopian Fidel,
http://collection.britishmuseum.org/id/thesauri/script/ethiopian-fidel,Ethiopian fidel,
http://collection.britishmuseum.org/id/thesauri/script/etruscan,Etruscan,
http://collection.britishmuseum.org/id/thesauri/script/etruscan,Etruscan.,
http://collection.britishmuseum.org/id/thesauri/script/etruscan,Etruscan?,
http://collection.britishmuseum.org/id/thesauri/script/euboean,Euboean,
http://collection.britishmuseum.org/id/thesauri/script/farsi,Farsi,
http://collection.britishmuseum.org/id/thesauri/script/fatimid-kufic,Fatimid Kufic,
http://collection.britishmuseum.org/id/thesauri/script/french,French,
http://collection.britishmuseum.org/id/thesauri/script/gavotu-island-solomons,"GAVOTU ISLAND, SOLOMONS.",
http://collection.britishmuseum.org/id/thesauri/script/ge-ez,Ge'ez,
http://collection.britishmuseum.org/id/thesauri/script/ge-ez-fidel,Ge'ez fidel,
http://collection.britishmuseum.org/id/thesauri/script/georgian,Georgian,
http://collection.britishmuseum.org/id/thesauri/script/german-gothic,German Gothic,
http://collection.britishmuseum.org/id/thesauri/script/german-hand,German hand,
http://collection.britishmuseum.org/id/thesauri/script/gnostic,Gnostic,
http://collection.britishmuseum.org/id/thesauri/script/gothic,Gothic,
http://collection.britishmuseum.org/id/thesauri/script/gothic-german,Gothic German,
http://collection.britishmuseum.org/id/thesauri/script/grass-script,Grass script,
http://collection.britishmuseum.org/id/thesauri/script/greek,Greek,
http://collection.britishmuseum.org/id/thesauri/script/greek-aramaic,Greek & Aramaic,
http://collection.britishmuseum.org/id/thesauri/script/greek,Greek (?),
http://collection.britishmuseum.org/id/thesauri/script/greek-corinthian,Greek (Corinthian?),
http://collection.britishmuseum.org/id/thesauri/script/greek-perhaps-latin,Greek (perhaps Latin),
http://collection.britishmuseum.org/id/thesauri/script/greek,Greek ?,
http://collection.britishmuseum.org/id/thesauri/script/greek-alphabet,Greek Alphabet,
http://collection.britishmuseum.org/id/thesauri/script/greek-alphabet-achaean,Greek Alphabet (Achaean),
http://collection.britishmuseum.org/id/thesauri/script/greek-alphabet,Greek alphabet,
http://collection.britishmuseum.org/id/thesauri/script/greek-alphabet,Greek alphabet (?),
http://collection.britishmuseum.org/id/thesauri/script/greek-and-cypro-syllabic,Greek and Cypro-Syllabic,
http://collection.britishmuseum.org/id/thesauri/script/greek-blundered,Greek blundered,
http://collection.britishmuseum.org/id/thesauri/script/greek-or-coptic,Greek or Coptic,
http://collection.britishmuseum.org/id/thesauri/script/greek-or-cufic,Greek or Cufic,
http://collection.britishmuseum.org/id/thesauri/script/greek,Greek(?),
http://collection.britishmuseum.org/id/thesauri/script/greek-greek,"Greek,Greek",
http://collection.britishmuseum.org/id/thesauri/script/greek/kharoshthi,Greek/Kharoshthi,
http://collection.britishmuseum.org/id/thesauri/script/greek/latin,Greek/Latin,
http://collection.britishmuseum.org/id/thesauri/script/greek/latin-mixed,Greek/Latin mixed,
http://collection.britishmuseum.org/id/thesauri/script/greek/roman-mixed,Greek/Roman mixed,
http://collection.britishmuseum.org/id/thesauri/script/greek,Greek?,
http://collection.britishmuseum.org/id/thesauri/script/gujarati,Gujarati,
http://collection.britishmuseum.org/id/thesauri/script/gupta,Gupta,
http://collection.britishmuseum.org/id/thesauri/script/gupta-brahmi,Gupta Brahmi,
http://collection.britishmuseum.org/id/thesauri/script/gupta-characters,Gupta characters,
http://collection.britishmuseum.org/id/thesauri/script/gurmukhi,Gurmukhi,
http://collection.britishmuseum.org/id/thesauri/script/hieroglyphic,HIeroglyphic,
http://collection.britishmuseum.org/id/thesauri/script/hand-written,Hand written,
http://collection.britishmuseum.org/id/thesauri/script/handwritten,Handwritten,
http://collection.britishmuseum.org/id/thesauri/script/handwritten-in-pen,Handwritten in Pen,
http://collection.britishmuseum.org/id/thesauri/script/handwritten-in-blue-ink,Handwritten in blue ink,
http://collection.britishmuseum.org/id/thesauri/script/handwritten-in-ink,Handwritten in ink,
http://collection.britishmuseum.org/id/thesauri/script/handwritten-in-pen,Handwritten in pen,
http://collection.britishmuseum.org/id/thesauri/script/handwritten-in-pencil,Handwritten in pencil,
