URI,Language,Scope note
http://collection.britishmuseum.org/id/thesauri/language/flemish-and-french,Flemish and French,
http://collection.britishmuseum.org/id/thesauri/language/france,France,
http://collection.britishmuseum.org/id/thesauri/language/franche,Franche,
http://collection.britishmuseum.org/id/thesauri/language/french,French,
http://collection.britishmuseum.org/id/thesauri/language/french,French (?),
http://collection.britishmuseum.org/id/thesauri/language/french-langue-d-oc,French (langue d'oc?),
http://collection.britishmuseum.org/id/thesauri/language/french-and-ahmaric,French and Ahmaric,
http://collection.britishmuseum.org/id/thesauri/language/french-and-arabic,French and Arabic,
http://collection.britishmuseum.org/id/thesauri/language/french-and-english,French and English,
http://collection.britishmuseum.org/id/thesauri/language/french-and-flemish,French and Flemish,
http://collection.britishmuseum.org/id/thesauri/language/french-german,"French, German",
http://collection.britishmuseum.org/id/thesauri/language/french-latin,French; (Latin),
http://collection.britishmuseum.org/id/thesauri/language/french-latin,French; Latin,
http://collection.britishmuseum.org/id/thesauri/language/french,French?,
http://collection.britishmuseum.org/id/thesauri/language/gl-...-omanorvm,GL[...]OMANORVM,
http://collection.britishmuseum.org/id/thesauri/language/greek,GREEK,
http://collection.britishmuseum.org/id/thesauri/language/gaelic,Gaelic,
http://collection.britishmuseum.org/id/thesauri/language/gandhari,Gandhari,
http://collection.britishmuseum.org/id/thesauri/language/gauarati,Gauarati,
http://collection.britishmuseum.org/id/thesauri/language/ge-ez,Ge'ez,
http://collection.britishmuseum.org/id/thesauri/language/ge-ez-and-english,Ge'ez and English,
http://collection.britishmuseum.org/id/thesauri/language/geman,Geman,
http://collection.britishmuseum.org/id/thesauri/language/georgian,Georgian,
http://collection.britishmuseum.org/id/thesauri/language/german,German,
http://collection.britishmuseum.org/id/thesauri/language/german-low,German (low),
http://collection.britishmuseum.org/id/thesauri/language/german,German ?,
http://collection.britishmuseum.org/id/thesauri/language/german-and-chinese,German and Chinese,
http://collection.britishmuseum.org/id/thesauri/language/german-english-spanish-italian,"German, English, Spanish, Italian",
http://collection.britishmuseum.org/id/thesauri/language/german-gothic-letter,"German, gothic letter",
http://collection.britishmuseum.org/id/thesauri/language/german-french,German; French,
http://collection.britishmuseum.org/id/thesauri/language/germanic,Germanic,
http://collection.britishmuseum.org/id/thesauri/language/germany,Germany,
http://collection.britishmuseum.org/id/thesauri/language/ge-ez,Ge?ez,
http://collection.britishmuseum.org/id/thesauri/language/gnostic,Gnostic,
http://collection.britishmuseum.org/id/thesauri/language/gnostic,Gnostic?,
http://collection.britishmuseum.org/id/thesauri/language/gothic,Gothic,
http://collection.britishmuseum.org/id/thesauri/language/greekgreek,GreeKGreek,
http://collection.britishmuseum.org/id/thesauri/language/greeek-modern,Greeek modern,
http://collection.britishmuseum.org/id/thesauri/language/greek,Greek,
http://collection.britishmuseum.org/id/thesauri/language/greek-aramaic,Greek & Aramaic,
http://collection.britishmuseum.org/id/thesauri/language/greek,Greek (?),
http://collection.britishmuseum.org/id/thesauri/language/greek-/eteo-cypriot,Greek (?)/Eteo-Cypriot,
http://collection.britishmuseum.org/id/thesauri/language/greek-corrupt,Greek (corrupt),
http://collection.britishmuseum.org/id/thesauri/language/greek-corrupt,Greek (corrupt},
http://collection.britishmuseum.org/id/thesauri/language/greek-/-demotic,Greek / Demotic,
http://collection.britishmuseum.org/id/thesauri/language/greek-/-latin,Greek / Latin,
http://collection.britishmuseum.org/id/thesauri/language/greek,Greek ?,
http://collection.britishmuseum.org/id/thesauri/language/greek-arabic,Greek ?, Arabic ?
http://collection.britishmuseum.org/id/thesauri/language/greek-and-coptic,Greek and Coptic,
http://collection.britishmuseum.org/id/thesauri/language/greek-and-latin,Greek and Latin,
http://collection.britishmuseum.org/id/thesauri/language/greek-christian,Greek christian(?),
http://collection.britishmuseum.org/id/thesauri/language/greek-or-coptic,Greek or Coptic,
http://collection.britishmuseum.org/id/thesauri/language/greek-or-latin,Greek or Latin,
http://collection.britishmuseum.org/id/thesauri/language/greek,Greek(?),
http://collection.britishmuseum.org/id/thesauri/language/greek-late-period,"Greek, late period",
http://collection.britishmuseum.org/id/thesauri/language/greek,Greek.,
http://collection.britishmuseum.org/id/thesauri/language/greek/latin,Greek/Latin,
http://collection.britishmuseum.org/id/thesauri/language/greek/prakrit,Greek/Prakrit,
http://collection.britishmuseum.org/id/thesauri/language/greek-persian,Greek; Persian,
http://collection.britishmuseum.org/id/thesauri/language/greek,Greek?,
http://collection.britishmuseum.org/id/thesauri/language/greekl,Greekl,
http://collection.britishmuseum.org/id/thesauri/language/green,Green,
http://collection.britishmuseum.org/id/thesauri/language/grek,Grek,
http://collection.britishmuseum.org/id/thesauri/language/gujarati,Gujarati,
http://collection.britishmuseum.org/id/thesauri/language/gujarati,Gujarati ?,
http://collection.britishmuseum.org/id/thesauri/language/gujerati,Gujerati,
http://collection.britishmuseum.org/id/thesauri/language/gujurati,Gujurati,
http://collection.britishmuseum.org/id/thesauri/language/gurmuhki,Gurmuhki,
http://collection.britishmuseum.org/id/thesauri/language/gurmukhi,Gurmukhi,
http://collection.britishmuseum.org/id/thesauri/language/gurmukhi/devnagri,Gurmukhi/Devnagri,
http://collection.britishmuseum.org/id/thesauri/language/gurumukhi,Gurumukhi,
http://collection.britishmuseum.org/id/thesauri/language/gurumukhti,Gurumukhti,
http://collection.britishmuseum.org/id/thesauri/language/hadramitic,Hadramitic,
http://collection.britishmuseum.org/id/thesauri/language/hasaean,Hasaean,
http://collection.britishmuseum.org/id/thesauri/language/hausa,Hausa,
http://collection.britishmuseum.org/id/thesauri/language/hebre,Hebre,
http://collection.britishmuseum.org/id/thesauri/language/hebrew,Hebrew,
http://collection.britishmuseum.org/id/thesauri/language/hebrew-masonic,Hebrew (Masonic),
http://collection.britishmuseum.org/id/thesauri/language/hebrew-or-phoenican,Hebrew or Phoenican,
http://collection.britishmuseum.org/id/thesauri/language/hebrew,Hebrew?,
http://collection.britishmuseum.org/id/thesauri/language/hieroglyphic,Hieroglyphic,
http://collection.britishmuseum.org/id/thesauri/language/hindi,Hindi,
http://collection.britishmuseum.org/id/thesauri/language/hindi-or-bihari,Hindi or Bihari,
http://collection.britishmuseum.org/id/thesauri/language/hindi-or-perhaps-rajasthani,Hindi or perhaps Rajasthani,
http://collection.britishmuseum.org/id/thesauri/language/hirogliphics,Hirogliphics,
http://collection.britishmuseum.org/id/thesauri/language/hittite,Hittite,
http://collection.britishmuseum.org/id/thesauri/language/hittite-and-akkadian,Hittite and Akkadian,
http://collection.britishmuseum.org/id/thesauri/language/hittite-and-hurrian,Hittite and hurrian,
http://collection.britishmuseum.org/id/thesauri/language/hittite,Hittite?,
http://collection.britishmuseum.org/id/thesauri/language/hungarian,Hungarian,
http://collection.britishmuseum.org/id/thesauri/language/inter-vtrvnqve,INTER VTRVNQVE,
http://collection.britishmuseum.org/id/thesauri/language/iberian,Iberian,
http://collection.britishmuseum.org/id/thesauri/language/icelandic,Icelandic,
http://collection.britishmuseum.org/id/thesauri/language/imitation-greek,Imitation Greek,
http://collection.britishmuseum.org/id/thesauri/language/imitationgreek,ImitationGreek,
http://collection.britishmuseum.org/id/thesauri/language/indian,Indian,
http://collection.britishmuseum.org/id/thesauri/language/indian-prakrit,Indian Prakrit,
http://collection.britishmuseum.org/id/thesauri/language/indistinct,Indistinct,
http://collection.britishmuseum.org/id/thesauri/language/iranian,Iranian,
http://collection.britishmuseum.org/id/thesauri/language/irish,Irish,
http://collection.britishmuseum.org/id/thesauri/language/irish-gaelic,Irish Gaelic,
http://collection.britishmuseum.org/id/thesauri/language/islamic,Islamic,
http://collection.britishmuseum.org/id/thesauri/language/italian,Italian,
http://collection.britishmuseum.org/id/thesauri/language/italian-german,Italian & German,
http://collection.britishmuseum.org/id/thesauri/language/italian-and-german,Italian and German,
http://collection.britishmuseum.org/id/thesauri/language/italian-english,Italian; English,
http://collection.britishmuseum.org/id/thesauri/language/italian-latin,Italian? Latin?,
http://collection.britishmuseum.org/id/thesauri/language/italians,Italians,
http://collection.britishmuseum.org/id/thesauri/language/italy,Italy,
http://collection.britishmuseum.org/id/thesauri/language/jamaican-creole,Jamaican Creole,
http://collection.britishmuseum.org/id/thesauri/language/japaense,Japaense,
http://collection.britishmuseum.org/id/thesauri/language/japanese,Japanese,
