URI,Label,Scope Note
http://collection.britishmuseum.org/id/thesauri/currency/gosseler,gosseler,
http://collection.britishmuseum.org/id/thesauri/currency/gouden-nobel,gouden nobel,
http://collection.britishmuseum.org/id/thesauri/currency/gouden-reaal,gouden reaal,
http://collection.britishmuseum.org/id/thesauri/currency/gouden-schild,gouden schild,
http://collection.britishmuseum.org/id/thesauri/currency/goudgulden,goudgulden,
http://collection.britishmuseum.org/id/thesauri/currency/gourde,gourde,
http://collection.britishmuseum.org/id/thesauri/currency/grados,grados,
http://collection.britishmuseum.org/id/thesauri/currency/grand-brule,grand brule,
http://collection.britishmuseum.org/id/thesauri/currency/grand-double,grand double,
http://collection.britishmuseum.org/id/thesauri/currency/grand-rider,grand rider,
http://collection.britishmuseum.org/id/thesauri/currency/griffon,griffon,
http://collection.britishmuseum.org/id/thesauri/currency/griven,griven,
http://collection.britishmuseum.org/id/thesauri/currency/groat,groat,
http://collection.britishmuseum.org/id/thesauri/currency/groot,groot,
http://collection.britishmuseum.org/id/thesauri/currency/gros,gros,
http://collection.britishmuseum.org/id/thesauri/currency/gros-au-lion,gros au lion,
http://collection.britishmuseum.org/id/thesauri/currency/gros-petit,gros petit,
http://collection.britishmuseum.org/id/thesauri/currency/groschen,groschen,
http://collection.britishmuseum.org/id/thesauri/currency/grosso,grosso,
http://collection.britishmuseum.org/id/thesauri/currency/grosso-guelfo,grosso guelfo,
http://collection.britishmuseum.org/id/thesauri/currency/grossone,grossone,
http://collection.britishmuseum.org/id/thesauri/currency/grosspfennig,grosspfennig,
http://collection.britishmuseum.org/id/thesauri/currency/grossus,grossus,
http://collection.britishmuseum.org/id/thesauri/currency/grosz,grosz,
http://collection.britishmuseum.org/id/thesauri/currency/grote,grote,
http://collection.britishmuseum.org/id/thesauri/currency/groten,groten,
http://collection.britishmuseum.org/id/thesauri/currency/guan,guan,
http://collection.britishmuseum.org/id/thesauri/currency/guan-jin-yuan,guan jin yuan,
http://collection.britishmuseum.org/id/thesauri/currency/guarani,guarani,
http://collection.britishmuseum.org/id/thesauri/currency/guerche,guerche,
http://collection.britishmuseum.org/id/thesauri/currency/guilder,guilder,
http://collection.britishmuseum.org/id/thesauri/currency/guinea,guinea,
http://collection.britishmuseum.org/id/thesauri/currency/gulden,gulden,
http://collection.britishmuseum.org/id/thesauri/currency/guldengroschen,guldengroschen,
http://collection.britishmuseum.org/id/thesauri/currency/guldenthaler,guldenthaler,
http://collection.britishmuseum.org/id/thesauri/currency/guldiner,guldiner,
http://collection.britishmuseum.org/id/thesauri/currency/guyennois,guyennois,
